event_type,attendance,location_type,weather_factor,density_veh_per_km,queue_length_veh,label
Sporting Event,2189,Highway,279.7429,10.5,3.25,Free-flow
Parade,35534,Urban,68.5537,58.64,25.2,Heavy
Construction,807,Urban,25.8294,86.1,55.52,Gridlock
Accident,700,Urban,148.9106,32.49,7.36,Moderate
Accident,796,Urban,293.5582,11.81,1.37,Free-flow
Accident,71,Suburban,24.5985,89.84,51.61,Gridlock
Accident,136,Rural,72.9433,62.46,18.64,Heavy
Concert,32934,Highway,27.4462,84.13,58.45,Gridlock
Construction,231,Suburban,294.0499,10.36,1.2,Free-flow
Accident,496,Urban,23.7927,93.12,55.58,Gridlock
Sporting Event,28852,Rural,59.2894,63.91,25.8,Heavy
Accident,135,Urban,267.6785,8.68,0.36,Free-flow
Sporting Event,50883,Urban,73.5585,61.53,26.54,Heavy
Other,118,Urban,280.5334,7.3,1.99,Free-flow
Accident,585,Urban,79.7502,52.86,25.93,Heavy
Accident,397,Urban,320.1433,9.54,0.87,Free-flow
Concert,41512,Suburban,79.3549,60.88,25.6,Heavy
Parade,57824,Highway,287.0876,9.43,1.3,Free-flow
Accident,46,Suburban,280.7239,6.42,1.97,Free-flow
Construction,231,Highway,152.9317,33.63,6.56,Heavy
Other,595,Urban,264.3391,8.92,2.15,Free-flow
Accident,730,Rural,79.8813,62.39,26.65,Heavy
Accident,550,Suburban,148.8356,31.21,11.4,Moderate
Accident,37,Highway,101.2928,62.38,24.93,Heavy
Accident,430,Highway,153.0095,29.76,8.34,Moderate
Concert,11680,Suburban,193.727,31.75,9.77,Moderate
Construction,934,Urban,278.9657,11.57,2.05,Free-flow
Concert,35525,Highway,282.6746,8.7,1.28,Free-flow
Other,324,Suburban,69.9775,56.0,25.23,Heavy
Construction,888,Urban,158.6753,34.55,10.2,Moderate
Sporting Event,96836,Suburban,308.6647,8.16,3.4,Free-flow
Parade,2698,Urban,153.5097,32.62,8.9,Moderate
Concert,52489,Highway,283.7615,9.33,2.39,Free-flow
Accident,751,Highway,147.4466,29.13,9.19,Moderate
Other,395,Suburban,168.045,32.53,8.83,Moderate
Sporting Event,97629,Urban,26.7751,90.24,60.07,Gridlock
Parade,29450,Suburban,252.156,10.27,1.81,Free-flow
Accident,612,Urban,90.9699,59.01,21.09,Heavy
Concert,48266,Rural,24.8258,89.57,54.65,Gridlock
Accident,294,Highway,100.6992,57.79,26.39,Heavy
Sporting Event,87656,Urban,57.8597,64.84,24.21,Heavy
Other,445,Suburban,88.7149,61.11,22.43,Heavy
Construction,361,Highway,78.1742,63.83,25.11,Heavy
Accident,390,Urban,66.6519,63.24,26.08,Heavy
Parade,61793,Highway,171.6841,21.44,9.3,Moderate
Construction,100,Highway,274.9794,9.19,2.22,Free-flow
Concert,65418,Highway,25.601,94.23,56.61,Gridlock
Accident,895,Urban,151.9086,30.27,9.78,Moderate
Construction,723,Highway,24.8915,89.97,57.96,Gridlock
Concert,43639,Suburban,300.3612,11.2,0.73,Free-flow
Accident,361,Highway,22.9302,89.12,63.62,Gridlock
Accident,593,Urban,279.9432,7.95,1.15,Free-flow
Concert,53466,Urban,251.1055,9.06,1.91,Free-flow
Sporting Event,35900,Urban,81.1816,62.34,28.32,Heavy
Sporting Event,20135,Highway,266.7658,8.86,2.5,Free-flow
Concert,59602,Highway,80.0223,59.73,21.39,Heavy
Sporting Event,46148,Suburban,68.0818,58.0,28.11,Heavy
Accident,635,Suburban,65.6217,57.91,28.49,Heavy
Parade,36003,Urban,267.9579,7.45,1.45,Free-flow
Construction,362,Urban,74.3925,60.85,24.8,Heavy
Accident,474,Rural,282.3038,10.65,3.24,Free-flow
Concert,3539,Highway,142.4832,27.38,12.38,Moderate
Accident,600,Highway,84.0336,60.82,22.55,Heavy
Parade,96484,Suburban,30.3571,88.56,59.2,Gridlock
Sporting Event,85248,Highway,27.5232,94.87,59.24,Gridlock
Accident,624,Urban,20.7567,87.71,61.38,Gridlock
Other,158,Urban,269.6197,8.24,2.56,Free-flow
Construction,285,Urban,165.0864,33.54,9.8,Moderate
Other,279,Suburban,26.8451,89.93,55.75,Gridlock
Accident,172,Highway,83.2518,59.55,24.42,Heavy
Construction,516,Urban,25.2964,90.25,60.6,Gridlock
Accident,488,Urban,160.8692,31.16,9.76,Moderate
Accident,179,Urban,78.5693,63.64,26.82,Heavy
Concert,8109,Suburban,284.0485,10.37,0.87,Free-flow
Accident,589,Highway,66.1988,62.18,24.53,Heavy
Concert,43878,Urban,161.8913,30.88,9.93,Moderate
Sporting Event,35394,Suburban,19.717,94.67,61.15,Gridlock
Sporting Event,17454,Suburban,83.8883,62.01,24.9,Heavy
Construction,693,Suburban,86.9061,60.77,24.57,Heavy
Construction,656,Rural,156.3119,29.29,11.45,Moderate
Accident,368,Suburban,76.5254,60.75,21.97,Heavy
Accident,902,Rural,258.1647,11.79,0.26,Free-flow
Sporting Event,29645,Highway,26.4872,90.1,61.82,Gridlock
Construction,830,Suburban,290.2045,7.46,1.41,Free-flow
Accident,556,Suburban,76.1331,65.28,21.51,Heavy
Construction,353,Highway,166.5319,28.9,9.18,Moderate
Concert,22722,Highway,300.99,8.11,3.72,Free-flow
Concert,41509,Urban,155.2352,26.52,11.83,Moderate
Concert,6944,Suburban,64.5293,59.65,22.45,Heavy
Construction,311,Highway,257.5596,12.42,3.4,Free-flow
Accident,648,Suburban,24.9571,90.67,58.15,Gridlock
Sporting Event,49499,Suburban,150.9443,29.36,11.0,Moderate
Concert,31898,Urban,143.8425,27.59,10.95,Moderate
Concert,4066,Urban,278.1992,10.47,3.0,Free-flow
Sporting Event,12209,Urban,283.6826,12.32,3.05,Free-flow
Accident,114,Suburban,25.082,87.48,56.82,Gridlock
Concert,4385,Suburban,151.2346,32.25,12.55,Moderate
Concert,76250,Suburban,150.1702,28.48,11.4,Moderate
Parade,62322,Suburban,84.2133,56.29,24.85,Heavy
Accident,775,Suburban,24.5071,91.35,60.58,Gridlock
Accident,274,Urban,275.324,9.58,1.21,Free-flow
Accident,76,Highway,78.4831,62.78,23.43,Heavy
Other,479,Highway,23.5071,87.99,59.85,Gridlock
Construction,940,Highway,280.5243,8.03,1.88,Free-flow
Parade,9811,Urban,172.7643,29.81,8.91,Moderate
Construction,356,Urban,264.1029,11.49,1.45,Free-flow
Parade,88416,Rural,29.5047,89.78,57.29,Gridlock
Parade,44450,Urban,271.1636,8.27,2.02,Free-flow
Concert,5067,Urban,277.0507,10.11,2.41,Free-flow
Accident,28,Urban,276.8489,11.97,2.02,Free-flow
Construction,789,Highway,279.7073,10.3,1.83,Free-flow
Construction,307,Suburban,24.8026,92.79,54.83,Gridlock
Sporting Event,32006,Suburban,168.5721,30.21,10.15,Moderate
Sporting Event,63218,Urban,255.145,9.19,2.26,Free-flow
Construction,729,Suburban,76.2782,64.34,22.83,Heavy
Accident,636,Suburban,171.472,23.43,10.91,Moderate
Accident,153,Highway,90.7703,62.21,23.95,Heavy
Concert,12675,Highway,282.7246,10.1,2.67,Free-flow
Construction,18,Urban,30.6611,88.66,58.17,Gridlock
Accident,353,Suburban,167.2429,28.23,10.49,Moderate
Accident,111,Highway,142.9056,28.51,11.61,Moderate
Parade,72901,Urban,80.3904,60.83,24.48,Heavy
Parade,84663,Suburban,297.142,11.45,2.18,Free-flow
Parade,65643,Rural,80.6337,58.41,22.33,Heavy
Accident,760,Suburban,26.5257,84.91,60.41,Gridlock
Sporting Event,76009,Urban,27.3161,94.04,63.28,Gridlock
Concert,36218,Rural,266.1285,12.36,2.56,Free-flow
Accident,924,Urban,89.6475,63.18,27.13,Heavy
Construction,466,Suburban,277.9127,11.6,1.53,Free-flow
Sporting Event,39712,Urban,29.0465,84.1,59.41,Gridlock
Accident,260,Highway,84.613,57.83,26.74,Heavy
Construction,638,Suburban,157.426,32.03,8.96,Moderate
Other,292,Rural,265.4956,7.72,3.03,Free-flow
Concert,84975,Highway,304.6582,7.63,1.97,Free-flow
Accident,988,Urban,296.5594,11.41,1.69,Free-flow
Construction,438,Suburban,156.8661,33.2,10.1,Moderate
Accident,341,Rural,105.2213,61.81,25.23,Heavy
Accident,920,Highway,75.2255,60.56,21.5,Heavy
Accident,602,Highway,180.4698,31.36,11.23,Moderate
Accident,44,Urban,278.5922,11.7,1.37,Free-flow
Sporting Event,91734,Urban,62.1835,60.44,25.93,Heavy
Sporting Event,3272,Rural,302.3883,7.2,1.81,Free-flow
Sporting Event,54063,Suburban,279.3002,9.46,3.02,Free-flow
Accident,140,Suburban,23.9859,90.09,57.99,Gridlock
Accident,901,Highway,22.1426,91.01,60.06,Gridlock
Parade,85639,Suburban,286.3712,10.23,2.45,Free-flow
Parade,73077,Suburban,150.6567,31.41,9.74,Moderate
Accident,368,Urban,307.0701,10.92,1.37,Free-flow
Accident,138,Highway,253.1708,9.67,1.2,Free-flow
Concert,51275,Highway,77.441,62.54,25.35,Heavy
Parade,29713,Urban,168.1453,32.99,12.39,Moderate
Concert,11389,Suburban,32.0642,93.79,66.26,Gridlock
Construction,615,Urban,178.2462,24.68,8.33,Moderate
Sporting Event,6548,Suburban,286.2527,8.85,2.46,Free-flow
Concert,18514,Urban,273.9857,8.98,1.39,Free-flow
Sporting Event,9125,Urban,156.7585,30.92,11.44,Moderate
Accident,429,Urban,150.8207,28.78,8.78,Moderate
Sporting Event,88220,Suburban,89.5183,57.91,23.56,Heavy
Concert,75532,Suburban,260.6137,7.86,2.5,Free-flow
Concert,17452,Suburban,169.5345,27.2,10.71,Moderate
Accident,492,Urban,82.4492,59.64,26.9,Heavy
Construction,50,Rural,22.6007,88.45,63.38,Gridlock
Sporting Event,8745,Highway,19.0922,85.86,65.3,Gridlock
Construction,130,Suburban,253.6634,9.39,3.82,Free-flow
Accident,882,Urban,270.4437,12.09,1.38,Free-flow
Other,238,Urban,178.1489,27.91,8.27,Moderate
Concert,67997,Urban,271.0482,11.67,2.28,Free-flow
Construction,109,Urban,159.6796,28.67,11.32,Moderate
Sporting Event,60651,Urban,285.0827,9.42,1.47,Free-flow
Parade,1235,Suburban,168.6366,28.03,10.98,Moderate
Sporting Event,2121,Urban,155.506,30.47,8.0,Moderate
Accident,901,Urban,159.356,27.81,8.74,Moderate
Parade,51233,Suburban,159.8516,29.69,10.64,Moderate
Accident,760,Highway,80.7546,53.76,20.3,Heavy
Construction,66,Rural,24.4231,85.78,55.85,Gridlock
Accident,263,Urban,88.5921,54.42,24.12,Heavy
Construction,859,Rural,164.3026,34.63,7.64,Moderate
Construction,140,Rural,78.2088,57.79,22.99,Heavy
Construction,87,Rural,159.978,29.54,10.19,Moderate
Sporting Event,87374,Urban,24.5403,90.71,51.34,Gridlock
Concert,37129,Suburban,292.8859,10.34,2.22,Free-flow
Accident,407,Urban,179.99,30.93,10.07,Moderate
Other,663,Urban,94.0522,61.61,26.54,Heavy
Accident,676,Rural,254.7849,9.77,1.7,Free-flow
Construction,591,Urban,159.1107,26.44,11.63,Moderate
Sporting Event,68884,Highway,285.232,7.92,2.43,Free-flow
Concert,95189,Suburban,25.8975,82.1,64.35,Gridlock
Parade,33177,Rural,82.0963,64.31,23.17,Heavy
Accident,471,Urban,137.6635,30.84,9.48,Moderate
Sporting Event,14583,Suburban,270.8892,13.33,2.61,Free-flow
Accident,640,Highway,166.4552,31.96,8.84,Moderate
Accident,253,Rural,163.0255,27.49,11.19,Moderate
Accident,197,Highway,77.6201,59.64,26.88,Heavy
Accident,711,Urban,275.9794,9.08,2.51,Free-flow
Concert,53103,Suburban,189.8823,28.06,12.58,Moderate
Construction,680,Urban,26.6982,87.99,64.24,Gridlock
Concert,87425,Suburban,276.0939,9.48,2.98,Free-flow
Accident,307,Urban,69.1536,64.66,26.17,Heavy
Concert,86009,Suburban,260.0337,7.98,2.24,Free-flow
Sporting Event,26678,Urban,86.5083,58.04,24.15,Heavy
Concert,63614,Urban,26.8396,85.12,60.35,Gridlock
Accident,756,Highway,82.5725,64.3,20.9,Heavy
Accident,524,Suburban,291.5728,9.09,1.68,Free-flow
Accident,358,Urban,26.9699,87.6,58.4,Gridlock
Accident,162,Rural,284.7382,6.54,2.71,Free-flow
Construction,928,Suburban,271.8262,9.31,2.58,Free-flow
Accident,506,Urban,26.3551,94.99,54.43,Gridlock
Accident,864,Rural,151.4027,29.95,8.99,Moderate
Accident,887,Urban,295.2249,11.26,3.66,Free-flow
Construction,900,Urban,70.6396,60.92,25.06,Heavy
Construction,230,Urban,167.7807,26.0,10.76,Moderate
Accident,898,Urban,286.8195,9.79,2.7,Free-flow
Accident,488,Urban,267.0217,10.32,0.89,Free-flow
Construction,387,Suburban,26.9588,90.61,60.88,Gridlock
Accident,81,Urban,245.65,9.43,2.06,Free-flow
Other,753,Highway,26.9834,89.05,54.87,Gridlock
Other,937,Highway,268.888,11.43,1.21,Free-flow
Concert,68887,Suburban,88.7092,58.09,19.87,Heavy
Accident,6,Suburban,184.024,28.28,10.66,Moderate
Sporting Event,71729,Suburban,89.4087,60.26,22.18,Heavy
Accident,437,Urban,27.1323,90.69,57.61,Gridlock
Construction,32,Suburban,62.1497,60.59,26.47,Heavy
Sporting Event,19332,Suburban,79.1712,56.3,26.2,Heavy
Construction,900,Suburban,20.5869,89.6,60.2,Gridlock
Accident,466,Urban,274.7259,8.7,2.73,Free-flow
Accident,461,Urban,295.1968,9.98,1.07,Free-flow
Concert,88522,Suburban,172.4679,34.0,9.87,Moderate
Accident,820,Highway,158.8413,30.4,12.8,Moderate
Construction,169,Highway,82.8252,64.94,24.81,Heavy
Sporting Event,86207,Highway,292.2641,10.47,1.94,Free-flow
Accident,29,Urban,20.7846,91.99,62.74,Gridlock
Accident,408,Highway,92.4763,64.25,24.28,Heavy
Accident,115,Suburban,248.2582,11.26,0.72,Free-flow
Accident,776,Highway,24.4341,89.65,59.94,Gridlock
Parade,15821,Suburban,285.5688,7.47,3.0,Free-flow
Other,911,Highway,30.1473,81.37,69.96,Gridlock
Accident,332,Suburban,171.9223,32.88,8.36,Moderate
Construction,829,Suburban,295.5414,11.34,3.37,Free-flow
Concert,86312,Suburban,84.0604,60.08,23.38,Heavy
Accident,385,Highway,172.5426,35.84,8.39,Moderate
Sporting Event,72198,Suburban,281.3571,9.51,2.53,Free-flow
Parade,90940,Urban,267.486,10.8,0.76,Free-flow
Accident,204,Urban,27.6016,92.87,61.96,Gridlock
Sporting Event,40578,Urban,165.9768,30.08,9.88,Moderate
Accident,798,Urban,159.8767,24.89,9.69,Moderate
Other,145,Rural,175.4715,26.55,8.24,Moderate
Accident,486,Urban,286.4823,10.22,2.31,Free-flow
Construction,417,Urban,277.5106,10.25,3.48,Free-flow
Accident,119,Highway,285.3844,13.49,2.43,Free-flow
Parade,48207,Suburban,80.3535,63.16,26.01,Heavy
Construction,956,Urban,164.7009,32.96,10.84,Moderate
Concert,24726,Suburban,159.72,32.06,7.94,Moderate
Parade,68616,Urban,148.8015,27.81,8.32,Moderate
Accident,46,Highway,177.0505,27.84,9.82,Moderate
Construction,307,Highway,295.4378,8.89,1.57,Free-flow
Other,175,Suburban,171.7427,28.03,10.39,Moderate
Sporting Event,59184,Rural,265.4519,8.02,1.49,Free-flow
Parade,16018,Urban,18.9661,94.27,62.92,Gridlock
Parade,55268,Suburban,170.5861,32.55,8.41,Free-flow
Construction,571,Rural,23.4392,90.42,61.15,Gridlock
Construction,658,Rural,283.2584,11.18,1.55,Free-flow
Accident,629,Suburban,23.976,87.4,58.51,Gridlock
Concert,92619,Urban,73.3593,59.95,25.42,Heavy
Other,387,Urban,153.8184,27.31,10.35,Moderate
Construction,540,Rural,28.2093,83.9,57.13,Gridlock
Sporting Event,17977,Suburban,162.4247,25.42,10.04,Moderate
Other,781,Highway,164.4794,26.13,12.59,Moderate
Accident,120,Urban,172.6234,29.5,9.57,Moderate
Concert,99689,Urban,161.6782,29.98,12.91,Moderate
Construction,755,Urban,88.138,64.07,23.28,Heavy
Accident,688,Urban,21.6252,93.49,62.54,Gridlock
Sporting Event,31199,Urban,77.2626,58.22,26.47,Heavy
Accident,257,Rural,282.94,10.5,0.17,Free-flow
Other,611,Suburban,273.3931,9.9,2.9,Free-flow
Construction,566,Urban,289.9711,8.23,1.21,Free-flow
Accident,520,Highway,181.7206,27.45,9.03,Moderate
Construction,550,Urban,151.8158,30.51,7.01,Moderate
Sporting Event,39914,Urban,151.4251,30.85,9.26,Moderate
Construction,490,Urban,178.8055,33.74,9.85,Moderate
Sporting Event,79326,Urban,79.6849,55.68,23.98,Heavy
Construction,297,Urban,22.4423,88.86,59.58,Gridlock
Other,424,Suburban,19.8588,95.44,67.53,Gridlock
Sporting Event,37563,Highway,295.2943,9.93,2.3,Free-flow
Concert,40710,Highway,23.311,86.53,66.75,Gridlock
Construction,982,Suburban,21.99,86.98,59.75,Gridlock
Sporting Event,20354,Highway,291.0783,11.24,1.49,Free-flow
Accident,218,Suburban,163.1317,31.84,10.63,Moderate
Accident,232,Urban,255.4076,9.66,2.59,Free-flow
Accident,541,Highway,294.4969,7.72,3.11,Free-flow
Other,977,Suburban,76.2771,63.98,23.84,Heavy
Parade,36747,Urban,94.5762,64.71,23.0,Heavy
Sporting Event,7404,Urban,171.932,28.99,8.63,Moderate
Sporting Event,23117,Urban,163.0881,31.9,8.54,Moderate
Accident,71,Urban,95.0475,53.8,23.95,Heavy
Accident,476,Rural,84.8053,56.93,26.41,Heavy
Construction,585,Suburban,160.6672,29.7,10.75,Moderate
Sporting Event,19805,Urban,76.6021,58.78,30.43,Heavy
Construction,441,Urban,170.2154,29.27,10.82,Moderate
Construction,574,Highway,69.2239,65.37,25.8,Heavy
Construction,525,Suburban,165.3514,30.45,10.93,Moderate
Other,499,Urban,275.4821,9.23,1.7,Free-flow
Accident,635,Suburban,284.7541,6.48,1.49,Free-flow
Construction,146,Suburban,169.9178,29.06,9.1,Moderate
Construction,318,Urban,62.8139,57.47,26.24,Heavy
Other,431,Suburban,185.7897,30.36,10.94,Moderate
Construction,870,Urban,24.6841,89.31,59.0,Gridlock
Construction,971,Urban,26.1441,91.92,56.3,Gridlock
Accident,39,Rural,180.0777,23.78,9.48,Moderate
Accident,9,Suburban,165.4088,30.8,12.96,Moderate
Construction,873,Urban,24.8584,92.28,56.02,Gridlock
Construction,720,Urban,288.1232,11.68,3.27,Free-flow
Sporting Event,4468,Highway,271.5762,5.18,3.85,Free-flow
Accident,303,Urban,267.7948,9.37,1.87,Free-flow
Parade,81802,Suburban,62.653,57.65,25.78,Heavy
Sporting Event,58845,Rural,92.7887,57.48,27.26,Heavy
Sporting Event,54722,Rural,88.9785,62.16,23.7,Heavy
Other,984,Highway,262.9346,11.7,1.96,Free-flow
Other,434,Urban,169.9606,33.44,9.74,Moderate
Construction,167,Urban,156.3859,29.93,11.28,Moderate
Other,65,Highway,269.2068,7.61,2.59,Free-flow
Construction,191,Rural,27.9142,91.18,61.17,Gridlock
Construction,972,Suburban,176.1451,33.25,11.17,Moderate
Accident,840,Urban,172.7062,31.24,9.43,Moderate
Accident,724,Rural,153.6186,27.45,12.01,Moderate
Other,717,Suburban,25.7192,84.54,63.52,Gridlock
Parade,52207,Highway,156.2865,29.36,13.31,Moderate
Construction,971,Suburban,68.487,59.57,25.7,Heavy
Construction,355,Urban,21.5917,89.17,60.6,Gridlock
Sporting Event,41611,Urban,261.169,8.08,1.89,Free-flow
Other,107,Suburban,273.0192,10.0,1.95,Free-flow
Sporting Event,32325,Urban,178.7247,27.26,11.71,Moderate
Construction,941,Suburban,177.7506,33.06,8.36,Free-flow
Construction,377,Suburban,87.3867,59.18,28.48,Heavy
Construction,481,Highway,302.5397,13.49,2.53,Free-flow
Parade,71189,Highway,296.0626,10.1,2.12,Free-flow
Accident,976,Urban,23.9312,88.36,56.32,Gridlock
Construction,960,Urban,162.2589,26.84,6.58,Moderate
Concert,45215,Urban,269.6227,6.31,0.85,Free-flow
Concert,96123,Urban,68.1359,63.19,27.51,Heavy
Accident,365,Suburban,173.1135,27.73,12.26,Moderate
Construction,331,Urban,300.7286,7.28,2.11,Free-flow
Concert,87111,Suburban,69.0436,57.8,26.52,Heavy
Accident,787,Urban,145.2249,35.06,6.57,Moderate
Sporting Event,16970,Urban,151.2483,31.65,9.28,Moderate
Accident,830,Suburban,284.9577,10.6,2.13,Free-flow
Construction,387,Urban,90.3205,61.05,26.29,Heavy
Other,492,Suburban,170.5029,37.29,8.86,Moderate
Construction,701,Highway,155.5787,30.91,8.19,Moderate
Construction,811,Rural,22.9909,87.44,55.67,Gridlock
Accident,70,Urban,50.2114,65.13,23.97,Heavy
Sporting Event,79269,Highway,283.9166,9.96,2.38,Free-flow
Construction,801,Rural,91.21,56.25,26.48,Heavy
Sporting Event,91020,Highway,169.4301,33.06,8.56,Moderate
Parade,8367,Suburban,162.9812,24.01,6.95,Moderate
Construction,154,Highway,75.4005,59.32,29.73,Heavy
Construction,231,Highway,156.7037,29.34,10.89,Moderate
Accident,809,Rural,284.96,14.2,0.62,Free-flow
Accident,19,Urban,269.7869,12.02,2.23,Free-flow
Other,755,Rural,187.7536,27.91,12.09,Moderate
Accident,343,Urban,296.248,8.9,2.54,Free-flow
Construction,660,Urban,152.5338,25.09,10.1,Moderate
Sporting Event,53935,Suburban,23.2544,91.93,59.15,Gridlock
Accident,463,Rural,272.3628,8.84,0.73,Moderate
Accident,636,Urban,70.2219,61.92,23.68,Heavy
Parade,55835,Urban,276.2771,9.14,1.75,Free-flow
Accident,484,Urban,163.692,27.03,10.17,Moderate
Construction,614,Urban,301.4152,8.57,1.04,Free-flow
Accident,316,Urban,142.4213,31.52,11.86,Moderate
Sporting Event,48681,Urban,181.6995,25.34,9.76,Moderate
Concert,24688,Urban,27.9305,92.77,56.91,Gridlock
Accident,538,Urban,173.5091,31.71,9.62,Moderate
Concert,23738,Highway,23.7709,95.39,62.24,Gridlock
Concert,66016,Urban,27.6548,89.06,64.89,Gridlock
Accident,970,Urban,285.6315,6.82,2.97,Free-flow
Concert,41806,Urban,299.6954,7.32,1.98,Free-flow
Construction,106,Urban,177.3096,35.33,11.25,Moderate
Construction,753,Urban,166.3146,35.78,11.72,Moderate
Accident,892,Urban,69.0817,59.34,25.99,Heavy
Parade,21073,Urban,72.478,63.28,25.07,Heavy
Construction,868,Urban,72.1164,57.91,24.96,Heavy
Sporting Event,29050,Highway,263.5408,7.33,3.67,Free-flow
Other,603,Urban,274.6542,11.6,2.2,Free-flow
Construction,271,Urban,271.7292,8.93,1.73,Free-flow
Accident,360,Urban,61.9078,61.4,25.98,Heavy
Accident,97,Urban,78.9321,63.74,28.56,Heavy
Parade,89477,Rural,80.8533,59.22,26.17,Heavy
Concert,13576,Rural,156.4819,36.16,12.17,Moderate
Construction,662,Urban,21.0127,92.53,57.94,Gridlock
Sporting Event,72948,Rural,24.2382,92.3,63.46,Gridlock
Accident,997,Urban,172.3484,27.97,10.46,Moderate
Accident,384,Urban,20.7329,93.53,62.38,Gridlock
Construction,674,Suburban,279.1455,11.21,2.28,Free-flow
Accident,954,Urban,85.8496,56.51,20.85,Heavy
Construction,320,Rural,83.7272,58.66,24.3,Heavy
Concert,40579,Suburban,267.9666,12.08,1.26,Free-flow
Construction,234,Highway,271.6206,11.52,1.24,Free-flow
Accident,9,Urban,289.7383,8.24,2.05,Free-flow
Other,966,Urban,146.6197,23.37,12.16,Moderate
Construction,282,Highway,255.4128,10.92,1.61,Free-flow
Accident,926,Suburban,69.5308,60.17,26.66,Heavy
Accident,654,Suburban,84.824,64.53,24.53,Heavy
Accident,861,Urban,49.5337,59.99,24.39,Heavy
Construction,250,Suburban,155.0575,33.98,10.95,Moderate
Sporting Event,21982,Highway,56.1927,58.45,26.96,Heavy
Sporting Event,89448,Rural,28.6391,95.93,63.67,Gridlock
Accident,804,Urban,163.6741,26.17,7.71,Moderate
Construction,638,Highway,249.7634,9.82,1.67,Free-flow
Sporting Event,18428,Suburban,76.9639,57.18,25.32,Heavy
Accident,545,Urban,265.1502,9.54,0.51,Free-flow
Concert,35214,Highway,21.7626,92.73,60.84,Gridlock
Sporting Event,61046,Suburban,84.8578,57.41,29.55,Heavy
Accident,416,Suburban,89.9682,69.62,22.58,Heavy
Parade,62416,Highway,285.8368,8.42,2.34,Free-flow
Sporting Event,90789,Urban,296.0475,10.57,2.17,Free-flow
Other,646,Highway,298.6568,5.72,1.26,Free-flow
Accident,737,Highway,22.0785,91.19,60.27,Gridlock
Accident,597,Highway,75.8841,60.8,24.89,Heavy
Accident,625,Urban,161.7442,30.64,8.92,Moderate
Construction,48,Urban,82.9888,55.28,21.17,Heavy
Concert,56595,Suburban,287.6527,9.54,2.39,Free-flow
Concert,51481,Urban,256.0103,7.87,2.51,Free-flow
Construction,255,Suburban,67.4781,56.59,27.83,Heavy
Accident,967,Highway,283.1514,8.54,1.69,Free-flow
Accident,28,Urban,186.2953,29.61,11.97,Moderate
Construction,764,Highway,23.2766,91.79,67.97,Gridlock
Accident,893,Urban,280.2949,11.72,2.63,Free-flow
Parade,30890,Urban,267.7916,10.76,3.21,Free-flow
Construction,685,Urban,28.9025,89.82,56.26,Gridlock
Construction,38,Suburban,75.5195,64.11,24.61,Heavy
Accident,478,Urban,31.7771,91.27,56.13,Gridlock
Construction,659,Highway,277.7911,11.63,1.37,Free-flow
Other,331,Suburban,29.7182,89.59,64.38,Gridlock
Construction,316,Rural,72.6059,64.61,26.65,Heavy
Construction,180,Urban,273.2948,12.45,1.8,Free-flow
Accident,517,Urban,82.8569,57.13,27.77,Heavy
Other,302,Highway,167.9001,25.68,8.99,Free-flow
Parade,74129,Urban,272.4113,9.37,2.8,Free-flow
Construction,569,Urban,32.8795,87.46,65.03,Gridlock
Accident,672,Urban,287.1276,10.17,2.3,Free-flow
Accident,694,Highway,23.4927,87.43,60.5,Gridlock
Sporting Event,49485,Highway,19.3642,89.12,63.91,Gridlock
Accident,390,Suburban,27.7087,87.64,62.23,Gridlock
Sporting Event,82849,Urban,29.4857,86.0,60.2,Gridlock
Concert,22066,Rural,21.6221,80.84,58.2,Gridlock
Accident,302,Urban,178.1716,30.12,7.04,Moderate
Sporting Event,36147,Urban,29.8449,90.24,54.79,Gridlock
Accident,534,Suburban,73.4138,58.45,25.88,Heavy
Sporting Event,21637,Suburban,150.3934,32.35,11.41,Moderate
Sporting Event,90971,Highway,84.952,60.61,25.16,Heavy
Construction,207,Highway,78.0388,61.77,22.17,Heavy
Construction,296,Highway,79.2723,58.42,26.22,Heavy
Construction,113,Suburban,80.8992,59.02,24.27,Heavy
Concert,52450,Highway,146.4337,32.94,9.73,Moderate
Construction,412,Highway,26.5254,88.44,61.19,Gridlock
Parade,27601,Rural,165.3783,28.03,11.74,Moderate
Accident,658,Suburban,29.2785,84.04,57.08,Gridlock
Concert,45402,Highway,70.9929,59.0,30.2,Heavy
Accident,176,Urban,271.1317,9.0,1.2,Free-flow
Accident,71,Suburban,280.6706,9.35,2.03,Free-flow
Construction,938,Urban,91.751,57.01,24.03,Heavy
Construction,207,Highway,181.0371,27.63,8.54,Moderate
Sporting Event,95549,Rural,148.3365,31.58,8.79,Moderate
Accident,594,Suburban,67.178,55.93,22.79,Heavy
Parade,33362,Urban,74.9977,54.4,27.68,Heavy
Sporting Event,95189,Urban,73.5163,54.47,26.29,Heavy
Concert,23092,Urban,26.8596,94.07,58.12,Gridlock
Accident,925,Highway,82.4327,60.44,24.3,Heavy
Parade,96744,Urban,22.4533,92.74,62.5,Gridlock
Sporting Event,90498,Suburban,163.8927,35.26,8.62,Moderate
Sporting Event,63564,Urban,24.8373,93.38,57.9,Gridlock
Sporting Event,2897,Highway,293.3721,7.41,1.65,Free-flow
Construction,28,Rural,67.3963,65.3,20.74,Gridlock
Accident,495,Highway,79.4454,59.21,21.99,Heavy
Accident,672,Suburban,157.6894,27.35,10.14,Moderate
